Dia,Mês,Ano,Hora,Dias Juliano,Bat (volts),Temp_log (°C),Tar_2m (°C),RH_2m (%),Td_2m (°C),Tw_2m (°C),PSV_ 2m (mbar),Tar_16m (°C),RH_16m (%),Td_16m (°C),Tw_16m (°C),PSV_ 16m (mbar),Tar_28m (°C),RH_28m (%),Td_28m (°C),Tw_28m (°C),PSV_ 28m (mbar),Tar_42m (°C),ETP_42m,Rso,RH_42m (%),Td_42m (°C),Tw_42m (°C),PSV_ 42m (mbar),Chuva (mm),RG (W/m²),RGT (MJ/m²),NET (W/m²),
1,1,2020,0:30,1,12.54,22.32,25.86,100,,,,22.89,98.4,22.62,22.71,27.9,23,100,22.62,22.71,27.9,22.92,0,0,99.3,22.62,22.71,27.9,0,0,0,-19.36,
1,1,2020,1:00,1,12.54,22.29,25.8,100,,,,22.85,98.3,22.58,22.64,27.82,22.98,100,22.58,22.64,27.82,22.9,0,0,99.3,22.58,22.64,27.82,0,0,0,-17.03,
1,1,2020,1:30,1,12.54,22.24,25.79,100,,,,22.83,98.4,22.57,22.64,27.8,23,100,22.57,22.64,27.8,22.93,0,0,99.4,22.57,22.64,27.8,0,0,0,-17.33,
1,1,2020,2:00,1,12.53,22.28,25.81,100,,,,22.86,98.4,22.61,22.68,27.84,22.92,100,22.61,22.68,27.84,22.82,0,0,99.3,22.61,22.68,27.84,0,0,0,-20.88,
1,1,2020,2:30,1,12.54,22.26,25.73,100,,,,22.8,98.2,22.54,22.61,27.75,22.89,100,22.54,22.61,27.75,22.75,0,0,99.3,22.54,22.6,27.75,0,0,0,-23.49,
1,1,2020,3:00,1,12.54,22.21,25.68,100,,,,22.73,98.4,22.47,22.55,27.63,22.81,100,22.47,22.55,27.63,22.7,0,0,99.4,22.47,22.55,27.63,0,0,0,-16.86,
1,1,2020,3:30,1,12.53,22.19,25.68,100,,,,22.71,98.3,22.44,22.51,27.59,22.8,100,22.44,22.51,27.59,22.68,0,0,99.3,22.44,22.51,27.59,0,0,0,-16.07,
1,1,2020,4:00,1,12.54,22.19,25.71,100,,,,22.74,98.2,22.49,22.57,27.64,22.77,100,22.49,22.57,27.64,22.68,0,0,99.4,22.49,22.57,27.64,0,0,0,-16.03,
1,1,2020,4:30,1,12.53,22.18,25.69,100,,,,22.74,98.3,22.49,22.55,27.65,22.85,100,22.49,22.55,27.65,22.68,0,0,99.3,22.49,22.55,27.65,0,0,0,-11.94,
1,1,2020,5:00,1,12.54,22.17,25.68,100,,,,22.69,98.6,22.45,22.51,27.57,22.79,100,22.45,22.51,27.57,22.71,0,0,99.3,22.45,22.51,27.57,0,0,0,-19.09,
1,1,2020,5:30,1,12.53,22.2,25.68,100,,,,22.72,98.4,22.48,22.53,27.61,22.77,100,22.48,22.53,27.61,22.79,0,0.001,99.3,22.48,22.53,27.61,0,0,0,-17.71,
1,1,2020,6:00,1,12.53,22.21,25.69,100,,,,22.71,98.4,22.47,22.55,27.6,22.82,100,22.47,22.55,27.6,22.87,0.001,0.071,99.3,22.47,22.55,27.6,0,1.075,0.001935813,-10.32,
1,1,2020,6:30,1,12.53,22.28,25.69,100,,,,22.72,98.4,22.48,22.56,27.61,22.83,100,22.48,22.56,27.61,22.94,0.001,0.318,99.4,22.48,22.56,27.61,0,15.39,0.02769578,4.326,
