Dia,Mês,Ano,Hora,Dias Juliano,Bat (volts),Temp_log (°C),Tar_2m (°C),RH_2m (%),Td_2m (°C),Tw_2m (°C),PSV_ 2m (mbar),Tar_16m (°C),RH_16m (%),Td_16m (°C),Tw_16m (°C),PSV_ 16m (mbar),Tar_28m (°C),RH_28m (%),Td_28m (°C),Tw_28m (°C),PSV_ 28m (mbar),Tar_42m (°C),ETP_42m,Rso,RH_42m (%),Td_42m (°C),Tw_42m (°C),PSV_ 42m (mbar),Chuva (mm),RG (W/m²),RGT (MJ/m²),NET (W/m²)
1,1,2021,0:30,1,12.83,23.33,24.17,100,24.17,24.17,30.13,23.7,100,24.17,24.17,30.13,23.68,100,24.17,24.17,30.13,23.54,,,85.3,24.17,24.17,30.13,0,0,0,-8.93
1,1,2021,1:00,1,12.82,23.42,24.22,100,24.22,24.22,30.23,23.7,100,24.22,24.22,30.23,23.67,100,24.22,24.22,30.23,23.52,,,85.6,24.22,24.22,30.23,0,0,0,-6.672
1,1,2021,1:30,1,12.82,23.48,24.24,100,24.24,24.24,30.27,23.73,100,24.24,24.24,30.27,23.66,100,24.24,24.24,30.27,23.42,,,85.8,24.24,24.24,30.27,0.8,0,0,-6.761
1,1,2021,2:00,1,12.82,23.44,24.19,100,24.19,24.19,30.17,23.68,100,24.19,24.19,30.17,23.66,100,24.19,24.19,30.17,23.43,,,85.6,24.19,24.19,30.17,0,0,0,-7.464
1,1,2021,2:30,1,12.81,23.45,24.17,100,24.17,24.17,30.14,23.68,100,24.17,24.17,30.14,23.68,100,24.17,24.17,30.14,23.55,,,85.7,24.17,24.17,30.14,0,0,0,-9.09
1,1,2021,3:00,1,12.81,23.51,24.22,100,24.22,24.22,30.23,23.7,100,24.22,24.22,30.23,23.73,100,24.22,24.22,30.23,23.7,,,85.3,24.22,24.22,30.23,0,0,0,-19.49
1,1,2021,3:30,1,12.8,23.55,24.25,100,24.25,24.25,30.28,23.76,100,24.25,24.25,30.28,23.85,100,24.25,24.25,30.28,23.84,,,85.4,24.25,24.25,30.28,0,0,0,-18.06
1,1,2021,4:00,1,12.8,23.66,24.31,100,24.31,24.31,30.38,23.83,100,24.31,24.31,30.38,23.93,100,24.31,24.31,30.38,23.92,,,85.4,24.31,24.31,30.38,0,0.009,1.61E-05,-6.006
1,1,2021,4:30,1,12.79,23.79,24.39,100,24.39,24.39,30.54,23.9,100,24.39,24.39,30.54,24.05,100,24.39,24.39,30.54,24.04,,,85.1,24.39,24.39,30.54,0,0.092,0.0001659805,-8.33
1,1,2021,5:00,1,12.79,23.86,24.48,100,24.48,24.48,30.69,24.03,100,24.48,24.48,30.69,24.16,100,24.48,24.48,30.69,24.11,,,85.2,24.48,24.48,30.69,0,0.156,0.0002812435,-13.46
1,1,2021,5:30,1,12.78,23.96,24.65,100,24.65,24.65,31.01,24.16,100,24.65,24.65,31.01,24.28,100,24.65,24.65,31.01,24.18,,,85.5,24.65,24.65,31.01,3.4,0.131,0.0002351385,-8.66
1,1,2021,6:00,1,12.77,23.99,24.65,100,24.65,24.65,31.02,24.12,100,24.65,24.65,31.02,24.18,100,24.65,24.65,31.02,24,,,85.8,24.65,24.65,31.02,1.8,0,0,-8.41
1,1,2021,6:30,1,12.76,23.93,24.58,100,24.58,24.58,30.88,24.06,100,24.58,24.58,30.88,24.09,100,24.58,24.58,30.88,23.87,,,86.2,24.58,24.58,30.88,4,0,0,-7.107
1,1,2021,7:00,1,12.75,23.87,24.56,100,24.56,24.56,30.84,24.01,100,24.56,24.56,30.84,24.01,100,24.56,24.56,30.84,23.78,,,86,24.56,24.56,30.84,1.2,0.305,0.0005486596,-10.41
1,1,2021,7:30,1,12.75,23.82,24.45,100,24.45,24.45,30.64,23.93,100,24.45,24.45,30.64,24.03,100,24.45,24.45,30.64,23.91,,,86.2,24.45,24.45,30.64,0,10.58,0.01904624,-6.627
1,1,2021,8:00,1,12.94,23.91,24.57,100,24.57,24.57,30.87,24.09,100,24.57,24.57,30.87,24.13,100,24.57,24.57,30.87,23.93,,,86.4,24.57,24.57,30.87,0,37.8,0.06803579,12.86
1,1,2021,8:30,1,13.5,24.06,24.71,100,24.71,24.71,31.13,24.21,100,24.71,24.71,31.13,24.24,100,24.71,24.71,31.13,24,,,86.2,24.71,24.71,31.13,0,80.6,0.1450732,39.15
1,1,2021,9:00,1,13.77,24.35,24.89,100,24.89,24.89,31.45,24.42,100,24.89,24.89,31.45,24.44,100,24.89,24.89,31.45,24.25,,,85.2,24.89,24.89,31.45,0,98.2,0.1767321,51.31
1,1,2021,9:30,1,13.72,24.68,25.05,100,25.05,25.05,31.76,24.68,100,25.05,25.05,31.76,24.79,100,25.05,25.05,31.76,24.7,,,84.3,25.05,25.05,31.76,0,192.2,0.345952,130.7
