Dia,Mês,Ano,Hora,Dias Juliano,Bat,TT_C_Avg,SBT_C_Avg,Tmed_Ab,UR_Ab,PSV_1,Tmed_Ac,UR_Ac,PSV_2,Tmed_16m,UR_16m,PSV_3,Tmed_20m,UR_20m,PSV_4,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,0:30,1,12.49,,,21.69,93.3,27.80599694,21.24,95.6,26.39982107,20.8,99,24.81349381,22.68,91.5,30.11396847,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,1:00,1,12.5,,,21.64,93.4,27.69148618,21.21,95.6,26.35130251,20.78,99,24.78297985,22.68,91.6,30.08109296,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,1:30,1,12.48,,,21.68,93.5,27.72957094,21.28,95.6,26.46463389,20.8,99,24.81349381,22.73,91.8,30.10667423,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,2:00,1,12.48,,,21.65,93.5,27.6787814,21.29,95.5,26.50858745,20.77,99,24.76773518,22.73,91.8,30.10667423,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,2:30,1,12.48,,,21.63,93.5,27.64496687,21.27,95.7,26.42078086,20.73,99,24.70683842,22.72,91.9,30.05569105,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,3:00,1,12.48,,,21.66,93.6,27.66611278,21.26,95.6,26.43221012,20.69,98.9,24.67099277,22.69,92.4,29.83873658,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,3:30,1,12.47,,,21.62,93.5,27.62807314,21.24,95.7,26.37223505,20.67,99,24.61573867,22.67,92.2,29.86722184,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,4:00,1,12.46,,,21.57,93.4,27.57322981,21.23,95.7,26.35607044,20.64,99,24.570299,22.65,92.6,29.70215965,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,4:30,1,12.45,,,21.57,93.4,27.57322981,21.22,95.7,26.33991449,20.61,99,24.52493267,22.63,92.6,29.6661517,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,5:00,1,12.45,,,21.54,93.5,27.49324771,21.19,95.7,26.29149855,20.59,99,24.49472914,22.61,92.6,29.63018186,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,5:30,1,12.45,,,21.57,93.5,27.54373973,21.22,95.7,26.33991449,20.59,99,24.49472914,22.62,92.6,29.64816201,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,6:00,1,12.44,,,21.52,93.5,27.4596313,21.24,95.8,26.34470662,20.63,99,24.55516875,22.68,93.1,29.59643518,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,6:30,1,12.45,,,21.71,93.4,27.8101854,21.38,95.7,26.59945091,20.74,98.9,24.74704734,22.77,92.7,29.88673476,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,7:00,1,12.46,,,21.67,93.6,27.68302454,21.38,95.8,26.5716853,20.76,98.9,24.77752651,22.78,92.7,29.90484828,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,7:30,1,12.97,,,21.84,93.4,28.03180648,21.56,95.7,26.89409776,20.98,98.9,25.1149691,23.03,92.8,30.32809588,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,8:00,1,13.23,,,22.11,93.4,28.49703135,21.88,95.7,27.42496024,21.31,98.8,25.65460322,23.44,92.8,31.08820074,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,8:30,1,13.28,,,22.31,93.3,28.87689385,22.15,95.6,27.90913528,21.65,98.7,26.22052746,23.81,92.7,31.8226592,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,9:00,1,13.33,,,22.49,93.3,29.19446894,22.35,95.6,28.25077561,21.84,98.8,26.49970369,24.07,92.5,32.39329119,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2019,9:30,1,13.35,,,22.73,93.2,29.65442805,22.6,95.5,28.71299225,22.1,98.7,26.95037724,24.41,92.3,33.13154772,,,,,,,,,,,,,,,,,,,,,,,,,,
