Dia,Mês,Ano,Hora,Dias Juliano,Bat,TT_C_Avg,SBT_C_Avg,Tmed_Ab,UR_Ab,Tmed_Ac,UR_Ac,Tmed_16m,UR_16m,Tmed_20m,UR_20m,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,0:30,1,12.24,,22.33,23.49,98.3,23.66,98,21.67,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,1:00,1,12.24,,22.26,23.45,98.3,23.66,98,21.6,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,1:30,1,12.24,,22.34,23.47,98.3,23.66,97.9,21.59,100,23.66,94.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,2:00,1,12.24,39.67,22.26,23.52,98.3,23.66,97.9,21.59,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,2:30,1,12.24,39.32,22.13,23.42,98.3,23.66,97.9,21.52,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,3:00,1,12.24,38.5,22.09,23.38,98.3,23.65,97.9,21.48,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,3:30,1,12.24,38.24,22.1,23.28,98.3,23.65,97.9,21.49,100,23.66,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,4:00,1,12.24,37.94,22.1,23.41,98.3,23.66,97.9,21.48,100,23.66,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,4:30,1,12.23,37.54,22.09,23.15,98.3,23.62,98.1,21.46,100,23.66,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,5:00,1,12.22,36.43,22.1,23.4,98.3,23.65,98,21.46,100,23.66,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,5:30,1,12.22,35.6,22.08,23.31,98.3,23.64,98.1,21.43,100,23.66,94.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,6:00,1,12.21,33.52,22.1,23.27,98.3,23.66,97.9,21.44,100,23.66,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,6:30,1,12.11,32.88,22.22,23.36,98.3,23.66,97.4,21.51,100,23.66,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,7:00,1,12.24,33.4,22.43,23.4,98.3,23.66,97.9,21.64,100,23.66,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,7:30,1,12.57,33.58,22.85,23.58,98.3,23.66,97.9,21.88,100,23.83,94.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,8:00,1,12.75,34.94,23.43,23.66,98.3,23.66,97.3,22.77,100,25.18,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,8:30,1,12.79,38.26,23.94,23.66,98.3,23.71,97.3,23.65,100,25.56,94,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,9:00,1,12.95,,24.71,23.66,98.3,24.21,96.7,23.66,100,25.64,92,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,9:30,1,13.15,,24.99,23.84,98.3,25.13,96.7,23.67,98.9,26.12,89.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,10:00,1,13.3,,25.4,24.33,98.3,25.55,95.9,24.06,94.3,27.95,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,10:30,1,13.7,,26.19,25.45,96.7,25.55,94.5,25.52,92,28,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,11:00,1,13.45,,27.31,25.55,96.2,25.66,94.4,25.61,91.5,27.99,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,11:30,1,13.49,,27.46,25.55,96.5,25.72,94.5,25.64,89.4,27.99,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,12:00,1,13.69,,28.03,25.55,95.7,26.21,91.8,26.11,83.2,28.8,78.95,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,12:30,1,13.79,,28.59,26.35,91.5,27.82,85,27.62,78.61,29.71,76.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,13:00,1,13.45,,29.55,27.92,93,27.99,87,28.03,76.91,29.67,78.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,13:30,1,13.65,,29.94,27.8,94,27.98,89.6,27.98,85.8,29.74,78.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,14:00,1,13.45,,30.61,26.68,95.7,27.96,91.5,27.98,87.2,30.09,74.34,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,14:30,1,13.65,,32.67,27.64,94,27.98,89.6,27.98,82.1,30.31,72.79,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,15:00,1,13.67,,32.97,27.7,94.2,27.98,91.5,27.98,85.3,30.51,72.31,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,15:30,1,13.31,,32.92,27.64,92.2,27.98,89.6,27.98,82.8,31.75,74.21,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,16:00,1,13.3,,33.32,27.48,94,27.98,89.8,27.99,87,28.38,82.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,16:30,1,13.3,39.29,26.96,25.72,96.4,26.24,95.7,25.89,97.9,27.69,84.9,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,17:00,1,13.3,38.8,25.55,25.41,96.6,25.53,95.7,25.49,98.3,27.12,85.3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,17:30,1,13.3,38.27,25.51,25.41,98,25.53,96,25.55,98.3,26.97,87,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,18:00,1,12.8,36.8,25.39,25.46,98,25.55,96,25.55,98.3,25.74,88.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,18:30,1,12.6,36.46,24.61,25.55,98.1,25.55,96.3,24.75,98.7,25.56,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,19:00,1,12.57,35.99,24.32,25.52,98.3,25.55,96.5,24.08,100,25.55,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,19:30,1,12.41,34.82,24.13,24.81,98.3,25.51,96.5,23.86,98.9,25.48,90.1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,20:00,1,12.39,34,23.57,23.95,98,24.15,96.4,23.66,99.5,25.24,90.8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,20:30,1,12.27,33.46,23.49,23.68,98.1,23.87,96.6,23.66,100,25.29,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,21:00,1,12.24,33.65,23.5,23.67,98.3,23.91,96.6,23.66,100,25.33,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,21:30,1,12.24,32.55,23.5,23.66,98.3,23.85,96.7,23.66,100,25.28,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,22:00,1,12.24,32.71,23.51,23.66,98.3,23.88,96.7,23.66,100,25.46,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,22:30,1,12.24,32.04,23.53,23.66,98.3,23.97,96.6,23.66,100,25.53,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,23:00,1,12.24,33.21,23.56,23.67,98.3,24.05,97.3,23.66,100,25.52,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2020,23:30,1,12.24,31.52,23.56,23.66,98.3,24.02,96.6,23.66,100,25.5,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2020,0:00,1,12.24,31.99,23.56,23.66,98.3,24.03,96.6,23.66,100,25.5,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2020,0:30,2,12.24,31.99,23.56,23.66,98.3,24.03,96.7,23.66,100,25.53,91.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2020,1:00,2,12.24,32.16,23.57,23.66,98.3,24.03,96.6,23.66,100,25.49,91.7,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2020,1:30,2,12.24,31.91,23.55,23.66,98.3,24.04,96.6,23.66,100,25.49,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,2020,2:00,2,12.24,31.81,23.55,23.66,98.3,24.01,96.7,23.66,100,24.99,92.2,,,,,,,,,,,,,,,,,,,,,,,,,,
