Dia,Mês,Ano,Hora,Dias Juliano,Bat (volts),Temp_log (°C),Tar_2m (°C),UR  2m (%),PSV_2m (mbar),Tar_16m (°C),UR_16m (%),PSV_16m (mbar),Tar_28m (°C),UR_28m (%),PSV_28m (mbar),Tar_42m (°C),ETP_42,Rso (W/m²),UR_42m (%),PSV_42m (mbar),Chuva (mm),VV (m/s),VV_max (m/s),DD (Graus),RG (W/m²),RGT (MJ/m²),NET (W/m²)
1,1,2018,0:30,1,,,24.32,99.1,,,,,,,,,,,,,,,,,,,
1,1,2018,1:00,1,,,24.25,99.5,,,,,,,,,,,,,,,,,,,
1,1,2018,1:30,1,,,24.19,99.2,,,,,,,,,,,,,,,,,,,
1,1,2018,2:00,1,,,24.13,100,,,,,,,,,,,,,,,,,,,
1,1,2018,2:30,1,,,24.11,100,,,,,,,,,,,,,,,,,,,
1,1,2018,3:00,1,,,24.16,100,,,,,,,,,,,,,,,,,,,
1,1,2018,3:30,1,,,24.12,100,,,,,,,,,,,,,,,,,,,
1,1,2018,4:00,1,,,23.96,100,,,,,,,,,,,,,,,,,,,
1,1,2018,4:30,1,,,23.96,100,,,,,,,,,,,,,,,,,,,
1,1,2018,5:00,1,,,23.98,100,,,,,,,,,,,,,,,,,,,
1,1,2018,5:30,1,,,24.01,100,,,,,,,,,,,,,,,,,,,
1,1,2018,6:00,1,,,24.05,100,,,,,,,,,,,,,,,,,,,
1,1,2018,6:30,1,,,24.13,100,,,,,,,,,,,,,,,,,,,
1,1,2018,7:00,1,,,24.19,100,,,,,,,,,,,,,,,,,,,
1,1,2018,7:30,1,,,24.23,100,,,,,,,,,,,,,,,,,,,
1,1,2018,8:00,1,,,24.35,100,,,,,,,,,,,,,,,,,,,
1,1,2018,8:30,1,,,24.56,100,,,,,,,,,,,,,,,,,,,
1,1,2018,9:00,1,,,24.99,100,,,,,,,,,,,,,,,,,,,
1,1,2018,9:30,1,,,25.44,100,,,,,,,,,,,,,,,,,,,
1,1,2018,10:00,1,,,25.94,100,,,,,,,,,,,,,,,,,,,
1,1,2018,10:30,1,,,26.67,98.4,,,,,,,,,,,,,,,,,,,
1,1,2018,11:00,1,11.16,30.61,26.8,97.9,,28.89,83.50,,,,,28.96,0.00,3.79,80.40,,0.00,1.22,1.85,98.10,715.00,0.03,519.50
1,1,2018,11:30,1,12.15,30.83,26.92,97.6,,29.80,72.01,,,,,29.44,0.00,3.84,75.51,,0.00,1.93,3.20,52.37,1023.00,0.02,784.50
1,1,2018,12:00,1,,,27.21,96.5,,,,,,,,,,,,,,,,,,,
1,1,2018,12:30,1,,,27.51,95.8,,,,,,,,,,,,,,,,,,,
1,1,2018,13:00,1,,,27.91,85.2,,,,,,,,,,,,,,,,,,,
1,1,2018,13:30,1,,,28.79,91,,,,,,,,,,,,,,,,,,,
1,1,2018,14:00,1,,,28.68,88.1,,,,,,,,,,,,,,,,,,,
