Dia,Mês,Ano,Hora,Dias Juliano,Bat (volts),Temp_log (°C),Tar_2m (°C),Tar_16m (°C),RH_16m (%),Td_16m (°C),Tw_16m (°C),PSV_ 16m (mbar),Tar_28m (°C),RH_28m (%),Td_28m (°C),Tw_28m (°C),PSV_ 28m (mbar),Tar_42m (°C),ETP_42m,Rso,RH_42m (%),Td_42m (°C),Tw_42m (°C),PSV_ 42m (mbar),Chuva (mm),RG (W/m²),RGT (MJ/m²),NET (W/m²),RH_2m (%),,,,,
1,1,2019,0:30,1,13.11,23.28,24.28,23.79,,,,,23.56,,,,,23.81,,0,96.1,,,,0,0,0,-32.04,100,,,,,
1,1,2019,1:00,1,13.11,23.15,24.17,23.69,,,,,23.42,,,,,23.73,,0,96.3,,,,0,0,0,-24.03,100,,,,,
1,1,2019,1:30,1,13.1,23.13,24.17,23.68,,,,,23.43,,,,,23.76,,0,96.2,,,,0,0,0,-9.37,100,,,,,
1,1,2019,2:00,1,13.1,23.19,24.21,23.73,,,,,23.48,,,,,23.79,,0,96.5,,,,0,0,0,-11.12,100,,,,,
1,1,2019,2:30,1,13.09,23.2,24.27,23.75,,,,,23.48,,,,,23.73,,0,96.7,,,,0,0,0,-16.19,100,,,,,
1,1,2019,3:00,1,13.09,23.16,24.15,23.65,,,,,23.39,,,,,23.7,,0,96.8,,,,0,0,0,-17.99,100,,,,,
1,1,2019,3:30,1,13.07,23.13,24.1,23.61,,,,,23.33,,,,,23.65,,0,97,,,,0,0,0,-20.07,100,,,,,
1,1,2019,4:00,1,13.07,23.12,24.16,23.66,,,,,23.39,,,,,23.63,,0,97.2,,,,0,0,0,-18.38,100,,,,,
1,1,2019,4:30,1,13.06,23.12,24.15,23.6,,,,,23.37,,,,,23.65,,0,97.2,,,,0,0,0,-16.02,100,,,,,
1,1,2019,5:00,1,13.05,23.12,24.17,23.63,,,,,23.33,,,,,23.64,,0,97.3,,,,0,0,0,-17.61,100,,,,,
1,1,2019,5:30,1,13.04,23.1,24.16,23.6,,,,,23.37,,,,,23.65,,0,97.4,,,,0,0,0,-12.7,100,,,,,
1,1,2019,6:00,1,13.04,23.12,24.18,23.66,,,,,23.4,,,,,23.63,,0.006,97.6,,,,0,0,0,-18.13,100,,,,,
1,1,2019,6:30,1,13.02,23.11,24.17,23.63,,,,,23.38,,,,,23.6,0.003,0.099,97.7,,,,0,0,0,-10.44,100,,,,,
1,1,2019,7:00,1,13.02,23.16,24.21,23.69,,,,,23.46,,,,,23.66,0.003,0.409,97.7,,,,0,0.555,0.000998289,-8.17,100,,,,,
1,1,2019,7:30,1,13.01,23.23,24.28,23.76,,,,,23.52,,,,,23.71,0.009,0.838,97.8,,,,0,22.03,0.03965341,5.84,100,,,,,
1,1,2019,8:00,1,13.67,23.46,24.39,23.91,,,,,23.79,,,,,23.91,0.04,1.287,97.6,,,,0,110.8,0.1994795,69.62,100,,,,,
1,1,2019,8:30,1,14.3,24.14,24.61,24.21,,,,,24.14,,,,,24.27,0.06,1.725,97.7,,,,0,160.1,0.2881133,111.5,100,,,,,
1,1,2019,9:00,1,14.29,24.85,24.88,24.54,,,,,24.44,,,,,24.56,0.048,2.124,97.5,,,,0,126.7,0.2279797,90.4,100,,,,,
