variable,predictors,Nobs,R2,MSE,RMSE,mean_residual_deviance,mae,rmsle
precipitation_mm,"e5_d2m, e5_ps, e5_ssrd, e5_strd, e5_t2m, e5_tot_evap, e5_total_precipitation, e5_u, e5_v, e5_ws, e5_esat, e5_vpd, e5_tot_p24h, e5_t2m_u, e5_t2m_anom, g_p, g_p3h_sum, g_p6h_sum, g_p12h_sum, g_p24h_sum, g_p48h_sum, g_p120h_sum, c_p24h, c_p48h, c_p120h, month, stat",1074,0.342490236916208,14.4131228854722,3.79646189042801,14.4131228854722,1.3556274803948,0.601410594529495
precipitation_mm,"temperature_28m_C_min, relative_humidity_28m_perc_min, vapor_pressure_deficit_28m_mbar_min, radiation_global_W_m2_min, wind_speed_m_s_min, wind_speed_maximum_m_s_min, soil_volumetric_water_content_250cm_min, soil_water_potential_250cm_MPa_min, temperature_28m_C_mean, relative_humidity_28m_perc_mean, vapor_pressure_deficit_28m_mbar_mean, radiation_global_W_m2_mean, wind_speed_m_s_mean, wind_speed_maximum_m_s_mean, soil_volumetric_water_content_250cm_mean, soil_water_potential_250cm_MPa_mean, temperature_28m_C_max, relative_humidity_28m_perc_max, vapor_pressure_deficit_28m_mbar_max, radiation_global_W_m2_max, wind_speed_m_s_max, wind_speed_maximum_m_s_max, soil_volumetric_water_content_250cm_max, soil_water_potential_250cm_MPa_max, month, stat",1074,0.202825088926709,17.4746910230297,4.18027403683415,17.4746910230297,1.51607299731232,0.678107661123188
radiation_global_W_m2,"e5_d2m, e5_ps, e5_ssrd, e5_strd, e5_t2m, e5_tot_evap, e5_total_precipitation, e5_u, e5_v, e5_ws, e5_esat, e5_vpd, e5_tot_p24h, e5_t2m_u, e5_t2m_anom, g_p, g_p3h_sum, g_p6h_sum, g_p12h_sum, g_p24h_sum, g_p48h_sum, g_p120h_sum, c_p24h, c_p48h, c_p120h, month, stat",1085,0.785643256190486,24442.4515185287,156.340818465712,24442.4515185287,77.6168944752072,
radiation_global_W_m2,"temperature_28m_C_min, relative_humidity_28m_perc_min, vapor_pressure_deficit_28m_mbar_min, precipitation_mm_min, wind_speed_m_s_min, wind_speed_maximum_m_s_min, soil_volumetric_water_content_250cm_min, soil_water_potential_250cm_MPa_min, temperature_28m_C_mean, relative_humidity_28m_perc_mean, vapor_pressure_deficit_28m_mbar_mean, precipitation_mm_mean, wind_speed_m_s_mean, wind_speed_maximum_m_s_mean, soil_volumetric_water_content_250cm_mean, soil_water_potential_250cm_MPa_mean, temperature_28m_C_max, relative_humidity_28m_perc_max, vapor_pressure_deficit_28m_mbar_max, precipitation_mm_max, wind_speed_m_s_max, wind_speed_maximum_m_s_max, soil_volumetric_water_content_250cm_max, soil_water_potential_250cm_MPa_max, month, stat",1085,0.833433291540563,18993.0982518498,137.815449975138,18993.0982518498,68.3465904514245,
relative_humidity_28m_perc,"e5_d2m, e5_ps, e5_ssrd, e5_strd, e5_t2m, e5_tot_evap, e5_total_precipitation, e5_u, e5_v, e5_ws, e5_esat, e5_vpd, e5_tot_p24h, e5_t2m_u, e5_t2m_anom, g_p, g_p3h_sum, g_p6h_sum, g_p12h_sum, g_p24h_sum, g_p48h_sum, g_p120h_sum, c_p24h, c_p48h, c_p120h, month, stat",996,0.86380414493358,27.1596290010844,5.21149009411746,27.1596290010844,3.99063898063137,0.0691022926754893
relative_humidity_28m_perc,"temperature_28m_C_min, vapor_pressure_deficit_28m_mbar_min, precipitation_mm_min, radiation_global_W_m2_min, wind_speed_m_s_min, wind_speed_maximum_m_s_min, soil_volumetric_water_content_250cm_min, soil_water_potential_250cm_MPa_min, temperature_28m_C_mean, vapor_pressure_deficit_28m_mbar_mean, precipitation_mm_mean, radiation_global_W_m2_mean, wind_speed_m_s_mean, wind_speed_maximum_m_s_mean, soil_volumetric_water_content_250cm_mean, soil_water_potential_250cm_MPa_mean, temperature_28m_C_max, vapor_pressure_deficit_28m_mbar_max, precipitation_mm_max, radiation_global_W_m2_max, wind_speed_m_s_max, wind_speed_maximum_m_s_max, soil_volumetric_water_content_250cm_max, soil_water_potential_250cm_MPa_max, month, stat",996,0.994934776013619,1.01008657136018,1.00503063205067,1.01008657136018,0.615063127814845,0.0151032647031862
soil_volumetric_water_content_250cm,"e5_d2m, e5_ps, e5_ssrd, e5_strd, e5_t2m, e5_tot_evap, e5_total_precipitation, e5_u, e5_v, e5_ws, e5_esat, e5_vpd, e5_tot_p24h, e5_t2m_u, e5_t2m_anom, g_p, g_p3h_sum, g_p6h_sum, g_p12h_sum, g_p24h_sum, g_p48h_sum, g_p120h_sum, c_p24h, c_p48h, c_p120h, month, stat",687,-0.408995229380237,0.000251504323301998,0.0158588878330732,0.000251504323301998,0.012152659850757,0.0136597713524873
soil_volumetric_water_content_250cm,"temperature_28m_C_min, relative_humidity_28m_perc_min, vapor_pressure_deficit_28m_mbar_min, precipitation_mm_min, radiation_global_W_m2_min, wind_speed_m_s_min, wind_speed_maximum_m_s_min, soil_water_potential_250cm_MPa_min, temperature_28m_C_mean, relative_humidity_28m_perc_mean, vapor_pressure_deficit_28m_mbar_mean, precipitation_mm_mean, radiation_global_W_m2_mean, wind_speed_m_s_mean, wind_speed_maximum_m_s_mean, soil_water_potential_250cm_MPa_mean, temperature_28m_C_max, relative_humidity_28m_perc_max, vapor_pressure_deficit_28m_mbar_max, precipitation_mm_max, radiation_global_W_m2_max, wind_speed_m_s_max, wind_speed_maximum_m_s_max, soil_water_potential_250cm_MPa_max, month, stat",687,-0.00937242656997883,0.00018017202884061,0.0134228174702858,0.00018017202884061,0.00800793175184259,0.0115141684251266
soil_water_potential_250cm_MPa,"e5_d2m, e5_ps, e5_ssrd, e5_strd, e5_t2m, e5_tot_evap, e5_total_precipitation, e5_u, e5_v, e5_ws, e5_esat, e5_vpd, e5_tot_p24h, e5_t2m_u, e5_t2m_anom, g_p, g_p3h_sum, g_p6h_sum, g_p12h_sum, g_p24h_sum, g_p48h_sum, g_p120h_sum, c_p24h, c_p48h, c_p120h, month, stat",307,-0.720769086117061,0.476194656009874,0.69006858790259,0.476194656009874,0.553282526437265,
soil_water_potential_250cm_MPa,"temperature_28m_C_min, relative_humidity_28m_perc_min, vapor_pressure_deficit_28m_mbar_min, precipitation_mm_min, radiation_global_W_m2_min, wind_speed_m_s_min, wind_speed_maximum_m_s_min, soil_volumetric_water_content_250cm_min, temperature_28m_C_mean, relative_humidity_28m_perc_mean, vapor_pressure_deficit_28m_mbar_mean, precipitation_mm_mean, radiation_global_W_m2_mean, wind_speed_m_s_mean, wind_speed_maximum_m_s_mean, soil_volumetric_water_content_250cm_mean, temperature_28m_C_max, relative_humidity_28m_perc_max, vapor_pressure_deficit_28m_mbar_max, precipitation_mm_max, radiation_global_W_m2_max, wind_speed_m_s_max, wind_speed_maximum_m_s_max, soil_volumetric_water_content_250cm_max, month, stat",307,0.938345091648075,0.0170619858938864,0.13062153686849,0.0170619858938864,0.104680126243617,
